name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Patent Blue V,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Brown HT,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Quinoline Yellow,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Indigo Carmine,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Iron Oxides,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vegetable Juice Color,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Beet Juice Color,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Turmeric Extract,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lutein,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Paprika Oleoresin,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Copper Chlorophyllin,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Benzoic Acid,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Metabisulfite,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, High blood pressure, Kidney disease, Sulfite sensitivity"
Potassium Metabisulfite,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, Sulfite sensitivity"
Sodium Sulfite,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, High blood pressure, Kidney disease, Sulfite sensitivity"
Sodium Sulfate,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Propyl Paraben,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Methyl Paraben,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ethyl Paraben,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Nisin,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natamycin,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Dehydroacetic Acid,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hexylresorcinol,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Dehydroacetate,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Dimethyl Dicarbonate,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Diacetate,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Acid Sulfite,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, High blood pressure, Kidney disease, Sulfite sensitivity"
Calcium Sorbate,,Preservative,Approved,Moderate,Sensitivity in some individuals; use‑level limits,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; bakery; pickles,FDA; EFSA; USDA; PubChem,2025-08-20,None
Propylene Glycol,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Glycerin,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lactic Acid Esters of Mono‑ and Diglycerides,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Citric Acid Esters of Mono‑ and Diglycerides,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sucrose Esters of Fatty Acids,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Lactylate,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Enzymatically Interesterified Oils,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorbitan Monostearate,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorbitan Tristearate,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorbitan Monolaurate,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorbitan Monooleate,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
PGPR,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acacia Gum (Gum Arabic),,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Quillaia Extract,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Yucca Extract,,Emulsifier,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Chocolate; beverages; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Konjac Gum,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tara Gum,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tragacanth,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Arabic Gum,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Alginate,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Alginate,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Alginate,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pregelatinized Starch,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acetylated Starch (E1420),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Oxidized Starch (E1404),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hydroxypropyl Starch (E1440),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acetylated Distarch Phosphate (E1414),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acetylated Distarch Adipate (E1422),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Phosphated Distarch Phosphate (E1413),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hydroxypropyl Distarch Phosphate (E1442),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Starch Sodium Octenyl Succinate (E1450),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Acetylated Starch Phosphate (E1412),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Distarch Phosphate (E1412 variant),,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Alkaline Treated Starch,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Waxy Maize Starch,,Thickener,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Soups; sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Silicon Dioxide,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tricalcium Phosphate,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,None
Magnesium Stearate,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Silicate,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Ferrocyanide,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Ferrocyanide,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,None
Talc,,Anticaking Agent,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Salts; powders,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mixed Tocopherols,,Antioxidant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Oils; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ascorbyl Palmitate,,Antioxidant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Oils; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rosemary Extract,,Antioxidant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Oils; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Green Tea Extract,,Antioxidant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Oils; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Citric Acid (as antioxidant),,Antioxidant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Oils; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Palm Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Palm Kernel Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Canola Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Soybean Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sunflower Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cottonseed Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Corn Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Peanut Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Olive Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Coconut Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hydrogenated Vegetable Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Interesterified Palm Oil,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Shortening,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Margarine,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lard,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Beef Tallow,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Butter,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ghee,,Fat/Oil,Approved,Moderate,High saturated fat (varies by oil),None,vegetarian,Deforestation risk for palm; variable GHG footprint,A,Approved in many jurisdictions,Frying; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
